area,areaid,dailydose1,dailydose2,dailydose3,daydiff,daytotal,referencedate,totaldistinctpersons,totaldose1,totaldose2,totaldose3,totalvaccinations
ΝΑΞΟΥ,1209,89,144,0,-144,233,2021-05-10 00:00:00,4611,4611,2501,0,7112
ΝΗΣΩΝ,906,287,637,0,-228,924,2021-05-10 00:00:00,20135,20136,11727,0,31863
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,4114,2406,0,-97,6471,2021-05-10 00:00:00,104483,104483,33824,0,138063
ΞΑΝΘΗΣ,105,570,519,0,104,1039,2021-05-10 00:00:00,18641,18641,9629,0,28025
ΠΑΡΟΥ,1210,49,42,0,-5,91,2021-05-10 00:00:00,2602,2602,1635,0,4237
ΠΕΙΡΑΙΩΣ,908,677,1797,0,16,2374,2021-05-10 00:00:00,80994,80994,44585,0,125115
ΠΕΛΛΑΣ,204,379,1177,0,-21,1460,2021-05-10 00:00:00,32729,32730,20556,0,52821
ΠΙΕΡΙΑΣ,205,384,775,0,-28,1109,2021-05-10 00:00:00,25631,25631,15109,0,40490
ΠΡΕΒΕΖΑΣ,404,300,406,0,36,656,2021-05-10 00:00:00,15383,15383,5329,0,20462
ΡΕΘΥΜΝΟΥ,1303,296,557,0,62,803,2021-05-10 00:00:00,18597,18597,10239,0,28586
ΡΟΔΟΠΗΣ,106,460,502,0,7,912,2021-05-10 00:00:00,18727,18727,8959,0,27441
ΡΟΔΟΥ,1211,497,361,0,52,808,2021-05-10 00:00:00,18990,18990,8898,0,27643
ΣΑΜΟΥ,1104,113,145,0,2,258,2021-05-10 00:00:00,5931,5931,2917,0,8848
ΣΕΡΡΩΝ,206,732,884,0,13,1566,2021-05-10 00:00:00,31352,31352,13946,0,45048
ΣΠΟΡΑΔΩΝ,504,229,179,0,47,408,2021-05-10 00:00:00,4613,4613,2156,0,6769
ΣΥΡΟΥ,1212,121,118,0,-18,189,2021-05-10 00:00:00,5053,5053,2539,0,7347
ΤΗΝΟΥ,1213,298,56,0,204,354,2021-05-10 00:00:00,2418,2418,1391,0,3809
ΤΡΙΚΑΛΩΝ,505,605,625,0,-14,1180,2021-05-10 00:00:00,27176,27176,13461,0,40397
ΦΘΙΩΤΙΔΑΣ,804,741,787,0,60,1478,2021-05-10 00:00:00,30776,30776,14499,0,45025
ΦΛΩΡΙΝΑΣ,304,139,497,0,-4,606,2021-05-10 00:00:00,12821,12821,8129,0,20785
ΦΩΚΙΔΑΣ,805,233,259,0,25,443,2021-05-10 00:00:00,7166,7166,3931,0,10868
ΧΑΛΚΙΔΙΚΗΣ,207,508,694,0,2,1151,2021-05-10 00:00:00,23500,23500,12061,0,35322
ΧΑΝΙΩΝ,1304,810,984,0,-24,1744,2021-05-10 00:00:00,38457,38457,21030,0,59238
ΧΙΟΥ,1105,260,199,0,1,409,2021-05-10 00:00:00,10906,10907,4758,0,15415
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,1166,840,0,-107,1920,2021-05-11 00:00:00,38976,38976,14725,0,53145
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,1070,1371,0,-39,2391,2021-05-11 00:00:00,67538,67538,29642,0,96881
